
2015-01-12 00:33:51: Process duration TOTAL 3
2015-01-12 00:33:52: Process duration STREAM FRAME 0
2015-01-12 00:33:52: Process duration TOTAL 2
2015-01-12 00:33:52: Process duration STREAM FRAME 2
2015-01-12 00:33:52: Process duration TOTAL 3
2015-01-12 00:33:52: Process duration STREAM FRAME 3
2015-01-12 00:33:52: Process duration TOTAL 4
2015-01-12 00:33:52: Process duration STREAM FRAME 4
2015-01-12 00:33:52: Process duration TOTAL 5
2015-01-12 00:33:52: Process duration STREAM FRAME 1
2015-01-12 00:33:52: Process duration TOTAL 2
2015-01-12 00:33:52: Process duration STREAM FRAME 2
2015-01-12 00:33:52: Process duration TOTAL 3
2015-01-12 00:33:52: Process duration STREAM FRAME 0
2015-01-12 00:33:52: Process duration TOTAL 2
2015-01-12 00:33:52: Process duration STREAM FRAME 2
2015-01-12 00:33:52: Process duration TOTAL 3
2015-01-12 00:33:52: Process duration STREAM FRAME 1
2015-01-12 00:33:52: Process duration TOTAL 2
2015-01-12 00:33:52: Process duration STREAM FRAME 0
2015-01-12 00:33:52: Process duration TOTAL 1
2015-01-12 00:33:52: Process duration STREAM FRAME 0
2015-01-12 00:33:52: Process duration TOTAL 2
2015-01-12 00:33:52: Process duration STREAM FRAME 2
2015-01-12 00:33:52: Process duration TOTAL 4
2015-01-12 00:33:52: Process duration STREAM FRAME 0
2015-01-12 00:33:52: Process duration TOTAL 1
2015-01-12 00:33:52: Process duration STREAM FRAME 1
2015-01-12 00:33:52: Process duration TOTAL 2
2015-01-12 00:33:52: Process duration STREAM FRAME 1
2015-01-12 00:33:52: Process duration TOTAL 2
2015-01-12 00:33:52: Process duration STREAM FRAME 3
2015-01-12 00:33:52: Process duration TOTAL 4
2015-01-12 00:33:52: Process duration STREAM FRAME 4
2015-01-12 00:33:52: Process duration TOTAL 5
2015-01-12 00:33:52: Process duration STREAM FRAME 6
2015-01-12 00:33:52: Process duration TOTAL 6
2015-01-12 00:33:52: Process duration STREAM FRAME 0
2015-01-12 00:33:52: Process duration TOTAL 1
2015-01-12 00:33:52: Process duration STREAM FRAME 2
2015-01-12 00:33:52: Process duration TOTAL 3
2015-01-12 00:33:52: Process duration STREAM FRAME 0
2015-01-12 00:33:52: Process duration TOTAL 2
2015-01-12 00:33:52: Process duration STREAM FRAME 2
2015-01-12 00:33:52: Process duration TOTAL 3
2015-01-12 00:33:52: Process duration STREAM FRAME 0
2015-01-12 00:33:52: Process duration TOTAL 2
2015-01-12 00:33:52: Process duration STREAM FRAME 2
2015-01-12 00:33:52: Process duration TOTAL 3
2015-01-12 00:33:52: Process duration STREAM FRAME 0
2015-01-12 00:33:52: Process duration TOTAL 2
2015-01-12 00:33:52: Process duration STREAM FRAME 2
2015-01-12 00:33:52: Process duration TOTAL 3
2015-01-12 00:33:52: Process duration STREAM FRAME 0
2015-01-12 00:33:52: Process duration TOTAL 1
2015-01-12 00:33:52: Process duration STREAM FRAME 1
2015-01-12 00:33:52: Process duration TOTAL 2
2015-01-12 00:33:52: Process duration STREAM FRAME 0
2015-01-12 00:33:52: Process duration TOTAL 1
2015-01-12 00:33:52: Process duration STREAM FRAME 1
2015-01-12 00:33:52: Process duration TOTAL 2
2015-01-12 00:33:52: Process duration STREAM FRAME 0
2015-01-12 00:33:52: Process duration TOTAL 1
2015-01-12 00:33:52: Process duration STREAM FRAME 1
2015-01-12 00:33:52: Process duration TOTAL 2
2015-01-12 00:33:52: Process duration STREAM FRAME 4
2015-01-12 00:33:52: Process duration TOTAL 6
2015-01-12 00:33:52: Process duration STREAM FRAME 6
2015-01-12 00:33:52: Process duration TOTAL 7
2015-01-12 00:33:53: Process duration STREAM FRAME 0
2015-01-12 00:33:53: Process duration TOTAL 1
2015-01-12 00:33:53: Process duration STREAM FRAME 1
2015-01-12 00:33:53: Process duration TOTAL 3
2015-01-12 00:33:53: Process duration STREAM FRAME 1
2015-01-12 00:33:53: Process duration TOTAL 2
2015-01-12 00:33:53: Process duration STREAM FRAME 3
2015-01-12 00:33:53: Process duration TOTAL 4
2015-01-12 00:33:53: Process duration STREAM FRAME 0
2015-01-12 00:33:53: Process duration TOTAL 1
2015-01-12 00:33:53: Process duration STREAM FRAME 0
2015-01-12 00:33:53: Process duration TOTAL 1
2015-01-12 00:33:53: Process duration STREAM FRAME 0
2015-01-12 00:33:53: Process duration TOTAL 2
2015-01-12 00:33:53: Process duration STREAM FRAME 2
2015-01-12 00:33:53: Process duration TOTAL 3
2015-01-12 00:33:53: Process duration STREAM FRAME 0
2015-01-12 00:33:53: Process duration TOTAL 1
2015-01-12 00:33:53: Process duration STREAM FRAME 1
2015-01-12 00:33:53: Process duration TOTAL 2
2015-01-12 00:33:53: Process duration STREAM FRAME 1
2015-01-12 00:33:53: Process duration TOTAL 3
2015-01-12 00:33:53: Process duration STREAM FRAME 3
2015-01-12 00:33:53: Process duration TOTAL 4
2015-01-12 00:33:53: Process duration STREAM FRAME 0
2015-01-12 00:33:53: Process duration TOTAL 1
2015-01-12 00:33:53: Process duration STREAM FRAME 1
2015-01-12 00:33:53: Process duration TOTAL 3
2015-01-12 00:33:53: Process duration STREAM FRAME 0
2015-01-12 00:33:53: Process duration TOTAL 1
2015-01-12 00:33:53: Process duration STREAM FRAME 2
2015-01-12 00:33:53: Process duration TOTAL 3
2015-01-12 00:33:53: Process duration STREAM FRAME 0
2015-01-12 00:33:53: Process duration TOTAL 1
2015-01-12 00:33:53: Process duration STREAM FRAME 1
2015-01-12 00:33:53: Process duration TOTAL 3
2015-01-12 00:33:53: Process duration STREAM FRAME 0
2015-01-12 00:33:53: Process duration TOTAL 1
2015-01-12 00:33:53: Process duration STREAM FRAME 0
2015-01-12 00:33:53: Process duration TOTAL 1
2015-01-12 00:33:54: Process duration STREAM FRAME 0
2015-01-12 00:33:54: Process duration TOTAL 1
2015-01-12 00:33:54: Process duration STREAM FRAME 1
2015-01-12 00:33:54: Process duration TOTAL 2
2015-01-12 00:33:54: Process duration STREAM FRAME 0
2015-01-12 00:33:54: Process duration TOTAL 1
2015-01-12 00:33:54: Process duration STREAM FRAME 1
2015-01-12 00:33:54: Process duration TOTAL 2
2015-01-12 00:33:54: Process duration STREAM FRAME 0
2015-01-12 00:33:54: Process duration TOTAL 1
2015-01-12 00:33:54: Process duration STREAM FRAME 1
2015-01-12 00:33:54: Process duration TOTAL 3
2015-01-12 00:33:54: Process duration STREAM FRAME 0
2015-01-12 00:33:54: Process duration TOTAL 1
2015-01-12 00:33:54: Process duration STREAM FRAME 1
2015-01-12 00:33:54: Process duration TOTAL 2
2015-01-12 00:33:54: Process duration STREAM FRAME 0
2015-01-12 00:33:54: Process duration TOTAL 1
2015-01-12 00:33:54: Process duration STREAM FRAME 1
2015-01-12 00:33:54: Process duration TOTAL 2
2015-01-12 00:33:54: Process duration STREAM FRAME 2
2015-01-12 00:33:54: Process duration TOTAL 4
2015-01-12 00:33:54: Process duration STREAM FRAME 4
2015-01-12 00:33:54: Process duration TOTAL 5
2015-01-12 00:33:54: Process duration STREAM FRAME 0
2015-01-12 00:33:54: Process duration TOTAL 1
2015-01-12 00:33:54: Process duration STREAM FRAME 1
2015-01-12 00:33:54: Process duration TOTAL 2
2015-01-12 00:33:54: Process duration STREAM FRAME 0
2015-01-12 00:33:54: Process duration TOTAL 2
2015-01-12 00:33:54: Process duration STREAM FRAME 2
2015-01-12 00:33:54: Process duration TOTAL 3
2015-01-12 00:33:54: Process duration STREAM FRAME 0
2015-01-12 00:33:54: Process duration TOTAL 1
2015-01-12 00:33:54: Process duration STREAM FRAME 2
2015-01-12 00:33:54: Process duration TOTAL 3
2015-01-12 00:33:54: Process duration STREAM FRAME 0
2015-01-12 00:33:54: Process duration TOTAL 2
2015-01-12 00:33:54: Process duration STREAM FRAME 2
2015-01-12 00:33:54: Process duration TOTAL 4
2015-01-12 00:33:54: Process duration STREAM FRAME 0
2015-01-12 00:33:54: Process duration TOTAL 2
2015-01-12 00:33:54: Process duration STREAM FRAME 2
2015-01-12 00:33:54: Process duration TOTAL 3
2015-01-12 00:33:54: Process duration STREAM FRAME 0
2015-01-12 00:33:54: Process duration TOTAL 1
2015-01-12 00:33:54: Process duration STREAM FRAME 1
2015-01-12 00:33:54: Process duration TOTAL 3
2015-01-12 00:33:54: Process duration STREAM FRAME 0
2015-01-12 00:33:54: Process duration TOTAL 2
2015-01-12 00:33:54: Process duration STREAM FRAME 2
2015-01-12 00:33:54: Process duration TOTAL 3
2015-01-12 00:33:54: Process duration STREAM FRAME 0
2015-01-12 00:33:54: Process duration TOTAL 1
2015-01-12 00:33:54: Process duration STREAM FRAME 1
2015-01-12 00:33:54: Process duration TOTAL 3
2015-01-12 00:33:54: Process duration STREAM FRAME 0
2015-01-12 00:33:54: Process duration TOTAL 1
2015-01-12 00:33:54: Process duration STREAM FRAME 1
2015-01-12 00:33:54: Process duration TOTAL 2
2015-01-12 00:33:54: Process duration STREAM FRAME 0
2015-01-12 00:33:54: Process duration TOTAL 2
2015-01-12 00:33:54: Process duration STREAM FRAME 2
2015-01-12 00:33:54: Process duration TOTAL 3
2015-01-12 00:33:54: Process duration STREAM FRAME 0
2015-01-12 00:33:54: Process duration TOTAL 2
2015-01-12 00:33:54: Process duration STREAM FRAME 0
2015-01-12 00:33:54: Process duration TOTAL 1
2015-01-12 00:33:54: Process duration STREAM FRAME 1
2015-01-12 00:33:54: Process duration TOTAL 2
2015-01-12 00:33:54: Process duration STREAM FRAME 2
2015-01-12 00:33:54: Process duration TOTAL 3
2015-01-12 00:33:55: Process duration STREAM FRAME 0
2015-01-12 00:33:55: Process duration TOTAL 1
2015-01-12 00:33:55: Process duration STREAM FRAME 1
2015-01-12 00:33:55: Process duration TOTAL 2
2015-01-12 00:33:55: Process duration STREAM FRAME 0
2015-01-12 00:33:55: Process duration TOTAL 1
2015-01-12 00:33:55: Process duration STREAM FRAME 1
2015-01-12 00:33:55: Process duration TOTAL 3
2015-01-12 00:33:55: Process duration STREAM FRAME 0
2015-01-12 00:33:55: Process duration TOTAL 1
2015-01-12 00:33:55: Process duration STREAM FRAME 1
2015-01-12 00:33:55: Process duration TOTAL 2
2015-01-12 00:33:55: Process duration STREAM FRAME 0
2015-01-12 00:33:55: Process duration TOTAL 2
2015-01-12 00:33:55: Process duration STREAM FRAME 0
2015-01-12 00:33:55: Process duration TOTAL 2
2015-01-12 00:33:55: Process duration STREAM FRAME 2
2015-01-12 00:33:55: Process duration TOTAL 3
2015-01-12 00:33:55: Process duration STREAM FRAME 0
2015-01-12 00:33:55: Process duration TOTAL 1
2015-01-12 00:33:55: Process duration STREAM FRAME 0
2015-01-12 00:33:55: Process duration TOTAL 0
2015-01-12 00:33:55: Process duration STREAM FRAME 1
2015-01-12 00:33:55: Process duration TOTAL 1
2015-01-12 00:33:55: Process duration STREAM FRAME 0
2015-01-12 00:33:55: Process duration TOTAL 1
2015-01-12 00:33:55: Process duration STREAM FRAME 1
2015-01-12 00:33:55: Process duration TOTAL 3
2015-01-12 00:33:55: Process duration STREAM FRAME 0
2015-01-12 00:33:55: Process duration TOTAL 1
2015-01-12 00:33:55: Process duration STREAM FRAME 1
2015-01-12 00:33:55: Process duration TOTAL 2
2015-01-12 00:33:55: Process duration STREAM FRAME 2
2015-01-12 00:33:55: Process duration TOTAL 2
2015-01-12 00:33:55: Process duration STREAM FRAME 2
2015-01-12 00:33:55: Process duration TOTAL 3
2015-01-12 00:33:55: Process duration STREAM FRAME 1
2015-01-12 00:33:55: Process duration TOTAL 2
2015-01-12 00:33:55: Process duration STREAM FRAME 2
2015-01-12 00:33:55: Process duration TOTAL 3
2015-01-12 00:33:55: Process duration STREAM FRAME 0
2015-01-12 00:33:55: Process duration TOTAL 1
2015-01-12 00:33:55: Process duration STREAM FRAME 1
2015-01-12 00:33:55: Process duration TOTAL 2
2015-01-12 00:33:55: Process duration STREAM FRAME 0
2015-01-12 00:33:55: Process duration TOTAL 1
2015-01-12 00:33:55: Process duration STREAM FRAME 2
2015-01-12 00:33:55: Process duration TOTAL 3
2015-01-12 00:33:55: Process duration STREAM FRAME 0
2015-01-12 00:33:55: Process duration TOTAL 1
2015-01-12 00:33:55: Process duration STREAM FRAME 2
2015-01-12 00:33:55: Process duration TOTAL 2
2015-01-12 00:33:55: Process duration STREAM FRAME 0
2015-01-12 00:33:55: Process duration TOTAL 1
2015-01-12 00:33:55: Process duration STREAM FRAME 1
2015-01-12 00:33:55: Process duration TOTAL 2
2015-01-12 00:33:55: Process duration STREAM FRAME 0
2015-01-12 00:33:55: Process duration TOTAL 2
2015-01-12 00:33:55: Process duration STREAM FRAME 2
2015-01-12 00:33:55: Process duration TOTAL 3
2015-01-12 00:33:55: Process duration STREAM FRAME 0
2015-01-12 00:33:55: Process duration TOTAL 1
2015-01-12 00:33:55: Process duration STREAM FRAME 1
2015-01-12 00:33:55: Process duration TOTAL 2
2015-01-12 00:33:55: Process duration STREAM FRAME 0
2015-01-12 00:33:55: Process duration TOTAL 1
2015-01-12 00:33:55: Process duration STREAM FRAME 1
2015-01-12 00:33:55: Process duration TOTAL 2
2015-01-12 00:33:56: Process duration STREAM FRAME 0
2015-01-12 00:33:56: Process duration TOTAL 2
2015-01-12 00:33:56: Process duration STREAM FRAME 2
2015-01-12 00:33:56: Process duration TOTAL 3
2015-01-12 00:33:56: Process duration STREAM FRAME 0
2015-01-12 00:33:56: Process duration TOTAL 1
2015-01-12 00:33:56: Process duration STREAM FRAME 1
2015-01-12 00:33:56: Process duration TOTAL 3
2015-01-12 00:33:56: Process duration STREAM FRAME 0
2015-01-12 00:33:56: Process duration TOTAL 2
2015-01-12 00:33:56: Process duration STREAM FRAME 2
2015-01-12 00:33:56: Process duration TOTAL 3
2015-01-12 00:33:56: Process duration STREAM FRAME 0
2015-01-12 00:33:56: Process duration TOTAL 1
2015-01-12 00:33:56: Process duration STREAM FRAME 1
2015-01-12 00:33:56: Process duration TOTAL 2
2015-01-12 00:33:56: Process duration STREAM FRAME 0
2015-01-12 00:33:56: Process duration TOTAL 2
2015-01-12 00:33:56: Process duration STREAM FRAME 2
2015-01-12 00:33:56: Process duration TOTAL 3
2015-01-12 00:33:56: Process duration STREAM FRAME 0
2015-01-12 00:33:56: Process duration TOTAL 2
2015-01-12 00:33:56: Process duration STREAM FRAME 2
2015-01-12 00:33:56: Process duration TOTAL 3
2015-01-12 00:33:56: Process duration STREAM FRAME 1
2015-01-12 00:33:56: Process duration TOTAL 2
2015-01-12 00:33:56: Process duration STREAM FRAME 0
2015-01-12 00:33:56: Process duration TOTAL 1
2015-01-12 00:33:56: Process duration STREAM FRAME 0
2015-01-12 00:33:56: Process duration TOTAL 1
2015-01-12 00:33:56: Process duration STREAM FRAME 1
2015-01-12 00:33:56: Process duration TOTAL 2
2015-01-12 00:33:56: Process duration STREAM FRAME 1
2015-01-12 00:33:56: Process duration TOTAL 2
2015-01-12 00:33:56: Process duration STREAM FRAME 2
2015-01-12 00:33:56: Process duration TOTAL 3
2015-01-12 00:33:56: Process duration STREAM FRAME 0
2015-01-12 00:33:56: Process duration TOTAL 1
2015-01-12 00:33:56: Process duration STREAM FRAME 1
2015-01-12 00:33:56: Process duration TOTAL 2
2015-01-12 00:33:56: Process duration STREAM FRAME 0
2015-01-12 00:33:56: Process duration TOTAL 2
2015-01-12 00:33:56: Process duration STREAM FRAME 2
2015-01-12 00:33:56: Process duration TOTAL 3
2015-01-12 00:33:56: Process duration STREAM FRAME 0
2015-01-12 00:33:56: Process duration TOTAL 1
2015-01-12 00:33:56: Process duration STREAM FRAME 2
2015-01-12 00:33:56: Process duration TOTAL 2
2015-01-12 00:33:56: Process duration STREAM FRAME 0
2015-01-12 00:33:56: Process duration TOTAL 1
2015-01-12 00:33:56: Process duration STREAM FRAME 1
2015-01-12 00:33:56: Process duration TOTAL 3
2015-01-12 00:33:56: Process duration STREAM FRAME 0
2015-01-12 00:33:56: Process duration TOTAL 1
2015-01-12 00:33:56: Process duration STREAM FRAME 1
2015-01-12 00:33:56: Process duration TOTAL 2
2015-01-12 00:33:56: Process duration STREAM FRAME 0
2015-01-12 00:33:56: Process duration TOTAL 1
2015-01-12 00:33:56: Process duration STREAM FRAME 1
2015-01-12 00:33:56: Process duration TOTAL 2
2015-01-12 00:33:56: Process duration STREAM FRAME 0
2015-01-12 00:33:56: Process duration TOTAL 1
2015-01-12 00:33:56: Process duration STREAM FRAME 1
2015-01-12 00:33:56: Process duration TOTAL 2
2015-01-12 00:33:56: Process duration STREAM FRAME 0
2015-01-12 00:33:56: Process duration TOTAL 1
2015-01-12 00:33:56: Process duration STREAM FRAME 1
2015-01-12 00:33:56: Process duration TOTAL 2
2015-01-12 00:33:56: Process duration STREAM FRAME 0
2015-01-12 00:33:56: Process duration TOTAL 1
2015-01-12 00:33:56: Process duration STREAM FRAME 1
2015-01-12 00:33:56: Process duration TOTAL 2
2015-01-12 00:33:56: Process duration STREAM FRAME 2
2015-01-12 00:33:56: Process duration TOTAL 3
2015-01-12 00:33:56: Process duration STREAM FRAME 3
2015-01-12 00:33:56: Process duration TOTAL 4
2015-01-12 00:33:56: Process duration STREAM FRAME 0
2015-01-12 00:33:56: Process duration TOTAL 1
2015-01-12 00:33:56: Process duration STREAM FRAME 1
2015-01-12 00:33:56: Process duration TOTAL 2
2015-01-12 00:33:56: Process duration STREAM FRAME 0
2015-01-12 00:33:56: Process duration TOTAL 0
2015-01-12 00:33:56: Process duration STREAM FRAME 0
2015-01-12 00:33:56: Process duration TOTAL 1
2015-01-12 00:33:56: Process duration STREAM FRAME 0
2015-01-12 00:33:56: Process duration TOTAL 1
2015-01-12 00:33:56: Process duration STREAM FRAME 1
2015-01-12 00:33:56: Process duration TOTAL 2
2015-01-12 00:33:56: Process duration STREAM FRAME 0
2015-01-12 00:33:56: Process duration TOTAL 1
2015-01-12 00:33:56: Process duration STREAM FRAME 1
2015-01-12 00:33:56: Process duration TOTAL 2
2015-01-12 00:33:57: Process duration STREAM FRAME 0
2015-01-12 00:33:57: Process duration TOTAL 1
2015-01-12 00:33:57: Process duration STREAM FRAME 1
2015-01-12 00:33:57: Process duration TOTAL 2
2015-01-12 00:33:57: Process duration STREAM FRAME 0
2015-01-12 00:33:57: Process duration TOTAL 1
2015-01-12 00:33:57: Process duration STREAM FRAME 1
2015-01-12 00:33:57: Process duration TOTAL 2
2015-01-12 00:33:57: Process duration STREAM FRAME 0
2015-01-12 00:33:57: Process duration TOTAL 1
2015-01-12 00:33:57: Process duration STREAM FRAME 1
2015-01-12 00:33:57: Process duration TOTAL 2
2015-01-12 00:33:57: Process duration STREAM FRAME 0
2015-01-12 00:33:57: Process duration TOTAL 2
2015-01-12 00:33:57: Process duration STREAM FRAME 3
2015-01-12 00:33:57: Process duration TOTAL 4
2015-01-12 00:33:57: Process duration STREAM FRAME 0
2015-01-12 00:33:57: Process duration TOTAL 1
2015-01-12 00:33:57: Process duration STREAM FRAME 1
2015-01-12 00:33:57: Process duration TOTAL 2
2015-01-12 00:33:57: Process duration STREAM FRAME 0
2015-01-12 00:33:57: Process duration TOTAL 1
2015-01-12 00:33:57: Process duration STREAM FRAME 1
2015-01-12 00:33:57: Process duration TOTAL 2
2015-01-12 00:33:57: Process duration STREAM FRAME 0
2015-01-12 00:33:57: Process duration TOTAL 2
2015-01-12 00:33:57: Process duration STREAM FRAME 2
2015-01-12 00:33:57: Process duration TOTAL 3
2015-01-12 00:33:57: Process duration STREAM FRAME 0
2015-01-12 00:33:57: Process duration TOTAL 2
2015-01-12 00:33:57: Process duration STREAM FRAME 2
2015-01-12 00:33:57: Process duration TOTAL 3
2015-01-12 00:33:57: Process duration STREAM FRAME 0
2015-01-12 00:33:57: Process duration TOTAL 1
2015-01-12 00:33:57: Process duration STREAM FRAME 1
2015-01-12 00:33:57: Process duration TOTAL 1
2015-01-12 00:33:57: Process duration STREAM FRAME 0
2015-01-12 00:33:57: Process duration TOTAL 1
2015-01-12 00:33:57: Process duration STREAM FRAME 1
